text,aspect,cleaned_text,cleaned_aspect,label
reduce products rates & reduce service charges.,service charges.,reduce products rates  reduce service charges,service charges,0
so when i download the video will people be able to click the link to watch the video or how will they watch the video,download,so when i download the video will people be able to click the link to watch the video or how will they watch the video,download,1
i want to add my voice to the video,voice,i want to add my voice to the video,voice,1
i understand that you want to be able to add the toggle + todo + number list all in one control unit.,list,i understand that you want to be able to add the toggle  todo  number list all in one control unit,list,1
i do not understand english well.,English,i do not understand english well,English,1
"first the loading time for opening the app needs to improve, next is that instead of having to click a lot of buttons to highlight a phrase such as clicking color and then having to click again and choose a color, it would be more efficient to highlight a phrase and then one click for it to be highlighted just like in striking words/phrase.",phrase,first the loading time for opening the app needs to improve next is that instead of having to click a lot of buttons to highlight a phrase such as clicking color and then having to click again and choose a color it would be more efficient to highlight a phrase and then one click for it to be highlighted just like in striking wordsphrase,phrase,0
i am talking about the offline mode in which you can work on something for a couple of hours and the app will log out by itself and you lose everything.,offline mode,i am talking about the offline mode in which you can work on something for a couple of hours and the app will log out by itself and you lose everything,offline mode,2
you can cancel your plan from subscription plan page from your laptop and desktop.,cancel,you can cancel your plan from subscription plan page from your laptop and desktop,cancel,1
ep 09 action database manipulation | life hacks series: phmaesdnghnaa acti.,Database,ep 09 action database manipulation  life hacks series phmaesdnghnaa acti,Database,1
"my colleague has a paid subscription, so why did we get a claim?",paid,my colleague has a paid subscription so why did we get a claim,paid,1
those promocodes are not valid,promocodes are not valid,those promocodes are not valid,promocodes are not valid,0
"what is going on.there are serious issues using this software in a incognito window or not.previews not loading, editing trim video function, and previewing videos with missing clips.when can we expect this to be addressed?","loading,",what is going onthere are serious issues using this software in a incognito window or notpreviews not loading editing trim video function and previewing videos with missing clipswhen can we expect this to be addressed,loading,0
timely updates in case a product is not being delivered or getting delayed.,Timely updates,timely updates in case a product is not being delivered or getting delayed,Timely updates,0
before render when i compose its alright but after render it comes in some places a little smaller,render,before render when i compose its alright but after render it comes in some places a little smaller,render,1
"This is  just what I needed for all my crafting supplies, Just love it!!!
",crafting supplies,"This is  just what I needed for all my crafting supplies Just love it
",crafting supplies,1
"Freezes even on small base Mostly good, but the app often hangs when regaining system focus, even with a small base (a few tables, a few dozen records, no attachments).",records,Freezes even on small base Mostly good but the app often hangs when regaining system focus even with a small base a few tables a few dozen records no attachments,records,1
i can not open the file..,file,i can not open the file,file,0
but the app is not.,app,but the app is not,app,0
how do i unsubscribe,unsubscribe,how do i unsubscribe,unsubscribe,1
please add an app lock to secure sensitive information.,secure sensitive information.,please add an app lock to secure sensitive information,secure sensitive information,0
"very bad service, for the essentials thing like milk","service,",very bad service for the essentials thing like milk,service,0
Why is the priority not displayed in mobile versions ZB?,priority,Why is the priority not displayed in mobile versions ZB,priority,0
maintain proper temparature of milk pocket n vegetables also not fresh.,vegetables,maintain proper temparature of milk pocket n vegetables also not fresh,vegetables,0
"it was overall a good experience, but lack of offline mode sucks.",offline mode,it was overall a good experience but lack of offline mode sucks,offline mode,0
Perfect for project management,project,Perfect for project management,project,2
1) add that video to both scenes.,scene,1 add that video to both scenes,scene,1
no immediate solution to queries,No immediate solution,no immediate solution to queries,No immediate solution,0
&grocerry varities,&grocerry,grocerry varities,grocerry,0
good and excellent service,Good,good and excellent service,Good,2
"its about the lowest vasilescu.pro solutions text in the scene, that should have the overlay over it before it fades away.",fades,its about the lowest vasilescupro solutions text in the scene that should have the overlay over it before it fades away,fades,1
"i love everything about notion , but you guys have such a terrible app",app,i love everything about notion  but you guys have such a terrible app,app,2
the delivery is very haphazard.,delivery,the delivery is very haphazard,delivery,0
"packaging of biscuits, bakery and dairy products is very poor.",dairy products,packaging of biscuits bakery and dairy products is very poor,dairy products,0
"and editing a video that long, requires more speed and that is something that is difficult for most users",speed,and editing a video that long requires more speed and that is something that is difficult for most users,speed,1
"journals, gtd, cookbooks, whatever.","GTD,",journals gtd cookbooks whatever,GTD,2
the product is really good but the app needs optimisation.,app,the product is really good but the app needs optimisation,app,0
"so, when i click the ""reading notes"" on the table of reading list, id like it direct me directly to the page of the reading note",table,so when i click the reading notes on the table of reading list id like it direct me directly to the page of the reading note,table,1
cuando agregaran el idioma espanol ?,cuando,cuando agregaran el idioma espanol ,cuando,2
time maintenance and hard working of your team,Time maintenance,time maintenance and hard working of your team,Time maintenance,2
I have used notion on my desktop so i wanted to try it out on my iphone however the app already does not open on my first time downloading it.,app,I have used notion on my desktop so i wanted to try it out on my iphone however the app already does not open on my first time downloading it,app,0
this app sucks,app,this app sucks,app,2
"best productivity tools
 1.",Productivity,"best productivity tools
 1",Productivity,2
"Very practical for organizing tasks and connecting the team, as well as stimulating productivity on a large scale.",connecting,Very practical for organizing tasks and connecting the team as well as stimulating productivity on a large scale,connecting,2
varying product ranges,product ranges,varying product ranges,product ranges,2
send the insulated bag for milk,milk,send the insulated bag for milk,milk,0
"good afternoon team, just want to cancel this subscription please as we are getting billing coming into our accounts but have no idea which email is linked to it.",subscription,good afternoon team just want to cancel this subscription please as we are getting billing coming into our accounts but have no idea which email is linked to it,subscription,1
delivery process is full of surprises,Delivery process,delivery process is full of surprises,Delivery process,0
did a little timelapse-video of me organising my @notionhq and outlining my novel.,organising,did a little timelapsevideo of me organising my  and outlining my novel,organising,1
"when i try to copy the link to a page, it gives me an option to share it to other apps",apps,when i try to copy the link to a page it gives me an option to share it to other apps,apps,0
Super useful relational database.,database,Super useful relational database,database,2
so i do not need my old account anymore and it is unfair to pay for it,pay,so i do not need my old account anymore and it is unfair to pay for it,pay,0
supr daily bag was not provided as assured at the time of joining.,Supr daily bag,supr daily bag was not provided as assured at the time of joining,Supr daily bag,0
"no its per scene, as the music plays in the first scene, and for scenes 2 and 3, the video plays, as the background music volume is set it 0 now",scene,no its per scene as the music plays in the first scene and for scenes 2 and 3 the video plays as the background music volume is set it 0 now,scene,1
each and every time need to wait for milk until 9 morning.,milk,each and every time need to wait for milk until 9 morning,milk,0
i just found this app accidentally and it is so easy to use to make any mind mapping by just using the bullet points and it will generate!,app,i just found this app accidentally and it is so easy to use to make any mind mapping by just using the bullet points and it will generate,app,2
do not put raw fruits like gava chiku mosambi for delivery .becoz,Mosambi,do not put raw fruits like gava chiku mosambi for delivery becoz,Mosambi,0
this app deserve more download,app,this app deserve more download,app,2
"i can not get the previews to load whether its with istock videos from yur library, or my own",previews,i can not get the previews to load whether its with istock videos from yur library or my own,previews,0
i am delighted to your apt reply from support team via email within minutes @notionhq .,support,i am delighted to your apt reply from support team via email within minutes  ,support,2
"@notionhq can you expand the header cells to support h4, h5, h6 please.",support, can you expand the header cells to support h4 h5 h6 please,support,1
"I have just started working with this software on my pc, decided to download the app","PC,",I have just started working with this software on my pc decided to download the app,PC,2
"then click on your profile icon on the top right, and go to the ""my projects page"" 3.",project,then click on your profile icon on the top right and go to the my projects page 3,project,0
the notion website application is awesome but i find the app to be not so easy to use.,notion website application,the notion website application is awesome but i find the app to be not so easy to use,notion website application,2
if you want to make the most out of this app browse templates online that suit your work flow best.,app,if you want to make the most out of this app browse templates online that suit your work flow best,app,2
startup seems to be getting slower and slower.,Startup,startup seems to be getting slower and slower,Startup,0
i want to edit 2 videos on one screen,edit,i want to edit 2 videos on one screen,edit,1
"The new update took away the ability to swipe on tasks to delete/complete/reschedule.
",tasks,"The new update took away the ability to swipe on tasks to deletecompletereschedule
",tasks,0
no proper delivery since a week.,delivery,no proper delivery since a week,delivery,0
"hi there, could i sync or easy to move evernote files(10yrs) to notion?",Evernote,hi there could i sync or easy to move evernote files10yrs to notion,Evernote,1
free delivery became now paid and then service fee for other milk products is not acceptable and should immediately revoke,delivery,free delivery became now paid and then service fee for other milk products is not acceptable and should immediately revoke,delivery,0
Great app for creating tasks and tracking them.,tracking,Great app for creating tasks and tracking them,tracking,1
i have reinstall my app but it performed same fa zi,reinstall,i have reinstall my app but it performed same fa zi,reinstall,1
but it does not even start.,even,but it does not even start,even,2
where is my insulated bag that you promised,insulated bag,where is my insulated bag that you promised,insulated bag,0
i can not rearrange properties in a table on windows desktop.,desktop.,i can not rearrange properties in a table on windows desktop,desktop,0
Iphone 7 does not work - next to the first screen does not go,Iphone,Iphone 7 does not work  next to the first screen does not go,Iphone,0
i have always been an evernote user but decided to try notion out after seeing some people praising it on twitter.,Notion,i have always been an evernote user but decided to try notion out after seeing some people praising it on twitter,Notion,0
I have set up templates that populate each day when i c.,templates,I have set up templates that populate each day when i c,templates,1
"one incidence, no supply , no communication for five days.",communication,one incidence no supply  no communication for five days,communication,0
"for subscriptions, ensure delivery happens daily its *not* ok even to miss a single day now that you even charge extra for each delivery.",delivery,for subscriptions ensure delivery happens daily its not ok even to miss a single day now that you even charge extra for each delivery,delivery,0
the new update much improves experience but more needs to be done to make the app more usable and much stronger competitor to other productivity apps.,productivity apps.,the new update much improves experience but more needs to be done to make the app more usable and much stronger competitor to other productivity apps,productivity apps,0
Learn about this site from product management class，Accidentally found that there are apps，Although this lesson is not how to understand，But at least website and app still help me a lot.,website,Learn about this site from product management classAccidentally found that there are appsAlthough this lesson is not how to understandBut at least website and app still help me a lot,website,1
absolutely phenomenal this is app is.i freaking love this app so much.i might join this company one day.,app,absolutely phenomenal this is app isi freaking love this app so muchi might join this company one day,app,0
please provide free delivery for all the products.,free delivery,please provide free delivery for all the products,free delivery,0
features access to 3500+ curated templates full access to image library full access to standard video library 120 istock images and videos free access to creator club's (premium) templates,free,features access to 3500 curated templates full access to image library full access to standard video library 120 istock images and videos free access to creator clubs premium templates,free,1
so i will need to swap to monthly or can i upgrade to annual after i pay ?,pay,so i will need to swap to monthly or can i upgrade to annual after i pay ,pay,2
Easy to use app for cataloguing items.,cataloguing items,Easy to use app for cataloguing items,cataloguing items,2
"i just uploaded an image in the ""logo"" section.",logo,i just uploaded an image in the logo section,logo,1
no offers for regular subscribers,offers for regular subscribers,no offers for regular subscribers,offers for regular subscribers,0
notion is amazing on desktop but near unusable on app.,app.,notion is amazing on desktop but near unusable on app,app,2
Productivity app doesn't have the ability to send push notifications on time...,push notifications,Productivity app doesnt have the ability to send push notifications on time,push notifications,0
i do historical research which leads me to use characters from various languages for page titles.,search,i do historical research which leads me to use characters from various languages for page titles,search,1
can you please help me and give me access to more istock clips?,access,can you please help me and give me access to more istock clips,access,1
"also, widgets!",WIDGETS!,also widgets,WIDGETS,0
"we started with chrome for the web clipper since most notion users are on chrome, but safari is certainly on the to-do list!",Safari,we started with chrome for the web clipper since most notion users are on chrome but safari is certainly on the todo list,Safari,1
this app can be the greatest thing,app,this app can be the greatest thing,app,0
"it is so versatile that if we need a spreadsheet, or chart, or even just a shopping list for snacks, i can create that.","chart,",it is so versatile that if we need a spreadsheet or chart or even just a shopping list for snacks i can create that,chart,2
that is one area where this app fails.,app,that is one area where this app fails,app,0
this is most likely due to the size of the database.,database,this is most likely due to the size of the database,database,1
"ah ok, look in the layers panel, if the text is locked, unlock it, then do so",text,ah ok look in the layers panel if the text is locked unlock it then do so,text,1
do you mean invideo itself does not work on mobile?,mobile?,do you mean invideo itself does not work on mobile,mobile,1
"prompt, customer friendly, quick customer service for complaints",customer service,prompt customer friendly quick customer service for complaints,customer service,2
i think it would be nice to have a plan that does not renew each moth.,renew,i think it would be nice to have a plan that does not renew each moth,renew,1
"pour les notes vous etes plutot @evernote , @msonenote ou @notionhq ?",les,pour les notes vous etes plutot    ou  ,les,1
ok - i tried that but the export seemed to get stuck at 99%,stuck,ok  i tried that but the export seemed to get stuck at 99,stuck,0
colums in mobiles and ios 2.,ios,colums in mobiles and ios 2,ios,0
"i can see it on screen, but the overlay with the spinning circle never goes away and i am not able to click on the page.","screen,",i can see it on screen but the overlay with the spinning circle never goes away and i am not able to click on the page,screen,1
"i love notion on the mac, it seriously is the best.",Notion,i love notion on the mac it seriously is the best,Notion,2
"App is rly good, but after one of the updates, deleting the row with the swipe has disappeared and it's a shame 😭",updates,App is rly good but after one of the updates deleting the row with the swipe has disappeared and its a shame ,updates,0
you have long product list but availability is very poor.,availability,you have long product list but availability is very poor,availability,0
one more question: do we have to pay a separate enterprise license for every workspace we use?,workspace,one more question do we have to pay a separate enterprise license for every workspace we use,workspace,1
the packing ..,packing,the packing ,packing,2
"I have spent endless hours in so many apps trying to understand their features, workflows, settings, etc and making my life fit to them.",settings,I have spent endless hours in so many apps trying to understand their features workflows settings etc and making my life fit to them,settings,1
"but i never started with a black screen, it comes up automaticaly before running into the first image",image,but i never started with a black screen it comes up automaticaly before running into the first image,image,1
please share a screenshot of the left panel with text tab selected.,screen,please share a screenshot of the left panel with text tab selected,screen,1
milk delivery boy is telling we will not do door delivery milk you will have to keep bag near society security cabin.,delivery boy,milk delivery boy is telling we will not do door delivery milk you will have to keep bag near society security cabin,delivery boy,0
prompt and timely delivery,timely delivery,prompt and timely delivery,timely delivery,2
even your customer care team confirmed that they will check the issue and still no response.,customer care,even your customer care team confirmed that they will check the issue and still no response,customer care,0
Not optimised for tablet...,optimised,Not optimised for tablet,optimised,0
"This app is not only really behind the desktop version, but bugs keep popping up, including regressions.",desktop,This app is not only really behind the desktop version but bugs keep popping up including regressions,desktop,1
i love the desktop version but this wait time on mobile app is making me think should i uninstall it.,desktop version,i love the desktop version but this wait time on mobile app is making me think should i uninstall it,desktop version,2
There is no way to delete tasks in new update.,delete,There is no way to delete tasks in new update,delete,0
"i want to create ""notion form"" of this pdf, but i can only create just checkboxes or normal text cells",checkboxes,i want to create notion form of this pdf but i can only create just checkboxes or normal text cells,checkboxes,1
"i also love that i can use this app for managing my small business from operations, to product development, marketing, and customer experience.",app,i also love that i can use this app for managing my small business from operations to product development marketing and customer experience,app,2
"but when you start to explore and engage more through the app, it gets really easy and truly a life saver.","app,",but when you start to explore and engage more through the app it gets really easy and truly a life saver,app,2
"notion is an amazing, both useful and beautiful tool and this app is enough for using it on phone for me.",Notion,notion is an amazing both useful and beautiful tool and this app is enough for using it on phone for me,Notion,2
Great app to help our projects stay on track.,projects,Great app to help our projects stay on track,projects,2
"nice app however i would like to request a zoom in feature for mobile users , to let us zoom into photos",app,nice app however i would like to request a zoom in feature for mobile users  to let us zoom into photos,app,0
what about images color,images,what about images color,images,1
it is not just a note taking app!,note,it is not just a note taking app,note,2
"hi, the workspace was named amoshh's workspace.",workspace,hi the workspace was named amoshhs workspace,workspace,1
packets of milk and butter are dirty,butter,packets of milk and butter are dirty,butter,0
"prompt delivery, professional delivery partners, products are of good quality with some exceptions which is redressed timely.","delivery,",prompt delivery professional delivery partners products are of good quality with some exceptions which is redressed timely,delivery,2
remove sound from video clip?,remove sound,remove sound from video clip,remove sound,1
I can’t sign up or log in,sign,I cant sign up or log in,sign,0
it would be nice to be able to do the equivalent of an sql where in a rollup.,Rollup.,it would be nice to be able to do the equivalent of an sql where in a rollup,Rollup,2
request to generate a scim api token for workspace 0cb2369a-f535-43fd-9daf-eb.,API,request to generate a scim api token for workspace 0cb2369af53543fd9dafeb,API,1
introduction of delivery fees per pack of milk delivery paves way for customers to buy directly from shops or milk vendor delivery,milk delivery,introduction of delivery fees per pack of milk delivery paves way for customers to buy directly from shops or milk vendor delivery,milk delivery,0
"when i click on the button, i have to go through a survey.","button,",when i click on the button i have to go through a survey,button,1
"better quality of fruits and vegetables, eggs.",quality of fruits,better quality of fruits and vegetables eggs,quality of fruits,0
does this mean i will not be charged vat?,charged,does this mean i will not be charged vat,charged,0
multiple and large variety catelog of items,variety catelog of items,multiple and large variety catelog of items,variety catelog of items,2
timely delivery easy to use app reasonable rates,app,timely delivery easy to use app reasonable rates,app,2
"Airtable is amazing because of the 'views', but if you can't use Kanban's view in the iPad app, it's preferable to use the web version on safari to take advantage of it.",web version,Airtable is amazing because of the views but if you cant use Kanbans view in the iPad app its preferable to use the web version on safari to take advantage of it,web version,1
i signed up today and cancelled my subscription and would like a refund.,cancelled,i signed up today and cancelled my subscription and would like a refund,cancelled,1
items rate and availability,Items rate,items rate and availability,Items rate,2
"The fifth star is when an offer is made for families;) 
The pricing structure is suitable for companies.",companies,"The fifth star is when an offer is made for families 
The pricing structure is suitable for companies",companies,1
get better service and deliver and do not charge 20 rs for deliveryb,deliver,get better service and deliver and do not charge 20 rs for deliveryb,deliver,0
I use the app as a digital ToDo list to organize collaboration in small teams.,teams,I use the app as a digital ToDo list to organize collaboration in small teams,teams,1
"every time i try to edit a page or create a link, the tools or keyboard flash up for half a second and close back down.",edit,every time i try to edit a page or create a link the tools or keyboard flash up for half a second and close back down,edit,0
"what originally happened was that i had a large amount of information and text in which i organised into different pages (topic 1: operations, topic 2:",organised,what originally happened was that i had a large amount of information and text in which i organised into different pages topic 1 operations topic 2,organised,0
i love the way the tables work,tables,i love the way the tables work,tables,2
initially 30 rupees was charged extra on my milk subscription and this was subsequently returned as super credits.,milk subscription,initially 30 rupees was charged extra on my milk subscription and this was subsequently returned as super credits,milk subscription,0
and switching to a .com d.,switching,and switching to a com d,switching,1
i wonder if my notion site is searchable when i search google or naver for 'yoke (a randomly specified notion site title) '.,searchable,i wonder if my notion site is searchable when i search google or naver for yoke a randomly specified notion site title ,searchable,1
smart delivery dy',Smart,smart delivery dy,Smart,2
"you can increase your stock as most of the time when we are in need of anything like milk even, it is out of stock so what is the meaning of order things till 11 pm",milk,you can increase your stock as most of the time when we are in need of anything like milk even it is out of stock so what is the meaning of order things till 11 pm,milk,0
"the drag the video to the canvas, when you do so, it will show you a trimmer",trim,the drag the video to the canvas when you do so it will show you a trimmer,trim,1
would it be possible to give me access to the beta version of notion ?,Beta,would it be possible to give me access to the beta version of notion ,Beta,1
"i am adjusting that volume and nothing is happening, i even tied downloading it",downloading,i am adjusting that volume and nothing is happening i even tied downloading it,downloading,0
Enter the Italian language,language,Enter the Italian language,language,1
Update: works properly after following techadvice.,Update,Update works properly after following techadvice,Update,1
"promptness, ontime, price",Price,promptness ontime price,Price,2
a lot of people are asking for more customizable color options on our timeline view.,timeline,a lot of people are asking for more customizable color options on our timeline view,timeline,0
condition of milk packets has not been consistently good.,milk packets,condition of milk packets has not been consistently good,milk packets,0
about some charges.,charges.,about some charges,charges,0
"ok, i will refund, but please cancel the plan once and let me know.",cancel,ok i will refund but please cancel the plan once and let me know,cancel,2
try to hv direct contact with the customer n not through aap,direct contact with the customer,try to hv direct contact with the customer n not through aap,direct contact with the customer,0
quality of the veggies and fruits are hopeless.,fruits,quality of the veggies and fruits are hopeless,fruits,0
delivery guy must leave the milk bag at the door and not at the building gate.,milk,delivery guy must leave the milk bag at the door and not at the building gate,milk,0
awesome app please please can you make a widget that will allow to see to do lists or stuff for today week etc like microsft to do does would make this app perfection,widget,awesome app please please can you make a widget that will allow to see to do lists or stuff for today week etc like microsft to do does would make this app perfection,widget,0
"consistently for 4 days, i did not recieve milk and i was notified in the morning that milk will not be delivered.",milk,consistently for 4 days i did not recieve milk and i was notified in the morning that milk will not be delivered,milk,0
Browser version great.,Browser version,Browser version great,Browser version,2
why it takes forever to load the video for me to preview in editing,load,why it takes forever to load the video for me to preview in editing,load,0
"but I would like to adjust it, resize, remove background etc.",background,but I would like to adjust it resize remove background etc,background,1
"I will add another vote for @notionhq been using them for yt organization for awhile now, and just.",organization,I will add another vote for  been using them for yt organization for awhile now and just,organization,1
today it asked me to login on my mobile.,mobile.,today it asked me to login on my mobile,mobile,1
"overall good app with amazing service, i have not found any issues with my app.",app.,overall good app with amazing service i have not found any issues with my app,app,2
"i hope this will be fixed also, i hope you add a pomodoro timer into the app :)",pomodoro timer,i hope this will be fixed also i hope you add a pomodoro timer into the app ,pomodoro timer,0
"bread comes squeezed with broken pieces, butter comes fully melted because their is no proper ice box.",butter,bread comes squeezed with broken pieces butter comes fully melted because their is no proper ice box,butter,0
"hello, i am working on a project that requires displaying a large amount of json data.",data.,hello i am working on a project that requires displaying a large amount of json data,data,1
i was not aware i was deleting the whole journal,journal,i was not aware i was deleting the whole journal,journal,1
is it possible to get more discount for annually membership.,membership.,is it possible to get more discount for annually membership,membership,1
i would hate for its owner to lose some of their notes if it can be avoided.,notes,i would hate for its owner to lose some of their notes if it can be avoided,notes,0
you told me from the timeline.,timeline,you told me from the timeline,timeline,1
google docs and sheets have this.,sheets,google docs and sheets have this,sheets,0
i could crop some scenes but not preview it,scenes,i could crop some scenes but not preview it,scenes,1
"hi, i want to close down my support email address.",email,hi i want to close down my support email address,email,1
fantastic and very capable app,app,fantastic and very capable app,app,2
this is a screenshot of what it looks like,screen,this is a screenshot of what it looks like,screen,0
"Still a wonderful app for managing work, but the latest update is rough.",update,Still a wonderful app for managing work but the latest update is rough,update,0
love this app to pieces!,app,love this app to pieces,app,2
I am using Iphone 5S,Iphone,I am using Iphone 5S,Iphone,1
+ aesthetic database text + tiled header (more r.,header, aesthetic database text  tiled header more r,header,1
does that only appear when a video has been exported?,exported,does that only appear when a video has been exported,exported,1
i really love the design and functionality of this app,app,i really love the design and functionality of this app,app,2
"however, they have done a great job of adding preset templates that help you to get an idea of the app's potential.",app,however they have done a great job of adding preset templates that help you to get an idea of the apps potential,app,2
i will send a screen shot.,screen,i will send a screen shot,screen,1
when suprdaily came to my society and put up promotional canopy it was promised that there would be no delivery charge ever.,Suprdaily,when suprdaily came to my society and put up promotional canopy it was promised that there would be no delivery charge ever,Suprdaily,0
so the drafts can not be removed from my home page?,removed,so the drafts can not be removed from my home page,removed,1
app.this is the app which i was looking for.,app,appthis is the app which i was looking for,app,2
while the task option makes sense (and i got it.,task,while the task option makes sense and i got it,task,2
your sidebar section displays all parent pages within your workspace.,workspace,your sidebar section displays all parent pages within your workspace,workspace,1
how can i embed an image from a link in a gallery template?,gallery,how can i embed an image from a link in a gallery template,gallery,1
need more offers or coupons on milk subscriptions.,offers,need more offers or coupons on milk subscriptions,offers,0
Can’t remove team member from.,team,Cant remove team member from,team,0
letting us know in advance if you be able to deliver milk or not.,milk,letting us know in advance if you be able to deliver milk or not,milk,0
app stuck in the splash screen,app,app stuck in the splash screen,app,0
the app is scrolling through the screen.,screen.,the app is scrolling through the screen,screen,0
"if you continue to use words like bulls**t, piss off, etc, you will not get any more help from us",off,if you continue to use words like bullst piss off etc you will not get any more help from us,off,0
Nice for startup small company,company,Nice for startup small company,company,1
i have a problem with the password,password,i have a problem with the password,password,0
"hello, until now i have tried this in the windows desktop app and in the web app (chrome and edge).",Desktop,hello until now i have tried this in the windows desktop app and in the web app chrome and edge,Desktop,2
my files are not uploading.,uploading.,my files are not uploading,uploading,0
heard great things however there is no android widget for notion which is very disappointing as i rely on a quick view layout for fast notes.,Android Widget,heard great things however there is no android widget for notion which is very disappointing as i rely on a quick view layout for fast notes,Android Widget,0
"hello hrishikesh, how does white labeling with invideo video editing software work?",editing,hello hrishikesh how does white labeling with invideo video editing software work,editing,1
"great app on desktop, dark mode and other functionalities are missing on mobile.",app,great app on desktop dark mode and other functionalities are missing on mobile,app,2
"slow app gets stopped by the system all the time, (maybe because it uses a lot of ram), and takes forever to start, sometimes never starts.",App,slow app gets stopped by the system all the time maybe because it uses a lot of ram and takes forever to start sometimes never starts,App,0
